!CSV A.01.01
!Keysight Technologies,P9373B,MY61100323,A.17.25.05
!Date: Friday, May 16, 2025 13:57:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
9000,0.010878145,-1.5689471,-89.467369,1.5493066,-96.15744,-131.20087,0.016488567,-0.017878627
9049.2976479265,0.012337315,-1.5622854,-93.768799,2.2815738,-98.524841,-87.321037,0.018365519,-0.016167469
9098.8653245297,0.010316756,-1.5789245,-89.558212,105.70239,-101.53764,94.154663,0.016712399,-0.0099981772
9148.7045088962,0.012308405,-1.594943,-97.384483,36.543003,-94.466827,-175.97137,0.015028728,-0.0026720066
9198.8166882143,0.012117903,-1.5909398,-91.713104,-93.198196,-88.250702,144.44987,0.015332601,-0.0043942402
9249.2033578183,0.011623281,-1.60364,-87.848885,18.993429,-94.393494,-156.83713,0.014090149,-0.0038507243
9299.8660212332,0.011941332,-1.6103222,-90.417511,155.83064,-93.035828,-31.828613,0.01631269,-0.013290203
9350.8061902196,0.010914294,-1.6247029,-93.137238,108.00311,-94.464539,-10.745186,0.013927592,-0.014213174
9402.0253848189,0.01061631,-1.6380197,-94.003624,-111.6442,-98.474091,4.7206998,0.014337325,-0.0077704308
9453.5251333985,0.010995371,-1.6357355,-94.259613,148.05824,-93.628899,66.22068,0.014107694,-0.013341364
9505.3069726974,0.010247545,-1.6529632,-93.722496,120.63678,-97.923859,-33.188602,0.015058652,-0.0088314777
9557.3724478722,0.01044536,-1.6709154,-91.153938,126.53702,-106.11314,-132.76512,0.012758555,-0.012381314
9609.723112543,0.011309338,-1.6618685,-96.021416,54.267582,-98.837341,-173.19026,0.014415759,-0.011089175
9662.36052884,0.011818452,-1.679369,-93.444023,123.64917,-93.500076,-25.27322,0.012920123,-0.0089308918
9715.2862674499,0.010146827,-1.683905,-87.903854,113.44849,-99.26622,-149.851,0.015033888,-0.0021631301
9768.501907663,0.010508886,-1.6899697,-92.208359,14.812252,-102.49117,95.410378,0.014934312,-0.014608489
9822.00903742,0.0095218029,-1.7017519,-104.44947,-168.50806,-96.881981,-40.56485,0.014209868,-0.0057870611
9875.8092533597,0.0096695442,-1.7056406,-86.08223,82.567726,-91.665764,176.43288,0.013441951,-0.00036554266
9929.9041608664,0.0097671747,-1.7261977,-91.551361,-146.30371,-88.598228,139.59778,0.014023062,-0.0094958022
9984.2953741182,0.0097201671,-1.7303535,-95.54361,-128.80232,-100.16956,-2.7255397,0.014284692,-0.0063868137
10038.984516135,0.0089313062,-1.7399652,-93.303696,-163.79082,-95.943993,117.51932,0.013759352,-0.0061735613
10093.973218825,0.0099913543,-1.7505997,-91.420898,13.504633,-94.409889,-13.654983,0.014464263,-0.013033704
10149.263123039,0.010727347,-1.7525051,-91.569275,102.68835,-90.053596,77.335533,0.012750296,-0.0092712753
10204.855878611,0.010782605,-1.7668527,-98.068352,88.929169,-91.927544,-13.046024,0.0120544,-0.0054988298
10260.753144416,0.0085670482,-1.776739,-88.367043,40.406059,-100.48759,-95.811371,0.01415104,0.00039598555
10316.956588413,0.010985044,-1.7791371,-106.44727,-70.475021,-90.613197,70.446602,0.01208228,-0.010851513
10373.467887698,0.0090377359,-1.796766,-88.013023,31.860483,-88.227623,57.053139,0.011550994,-0.01358499
10430.288728554,0.010807394,-1.8122283,-94.202721,47.528999,-87.414001,50.681419,0.012959869,-0.019221336
10487.4208065,0.0096612787,-1.8054178,-96.844803,-60.381973,-86.095367,104.95496,0.013355242,-0.0028258581
10544.865826342,0.010184532,-1.8225294,-85.540428,125.16211,-89.767708,-84.134377,0.013386725,-0.014741091
10602.625502224,0.0088414066,-1.8307275,-100.39433,-97.268761,-91.103531,-68.273087,0.014462199,0.00066531502
10660.70155768,0.010282667,-1.85105,-93.835785,-141.17068,-93.989464,131.7925,0.013194722,-0.0056327991
10719.095725684,0.0095693292,-1.8576616,-99.318558,118.77307,-98.180397,-142.91913,0.011674915,-0.0017182563
10777.809748704,0.010166971,-1.8658932,-93.662209,69.793182,-95.664421,-175.67201,0.013078587,-0.01450702
10836.845378749,0.0079278443,-1.8522626,-93.441475,51.295418,-90.779282,164.90375,0.012378098,-0.0064784805
10896.204377429,0.0082616685,-1.8823634,-94.286171,-41.277672,-90.072433,-35.451023,0.012252132,-0.0057128062
10955.888515999,0.0084420051,-1.8922499,-109.11024,121.19823,-94.400261,-18.217163,0.014462199,-0.0092167621
11015.89957542,0.0090924995,-1.8990259,-89.309273,6.4404335,-90.266304,41.251038,0.011730161,-0.021266643
11076.239346404,0.0082037933,-1.9089557,-100.06051,83.738083,-88.371536,-170.20451,0.010721666,0.0031997536
11136.909629476,0.0082074106,-1.9216595,-89.593994,92.271919,-100.75262,156.07124,0.012248002,-0.0070949323
11197.912235021,0.0085453466,-1.9271435,-92.795052,130.55997,-99.525139,12.295676,0.012208766,-0.0071876026
11259.24898334,0.0092381882,-1.9392574,-97.536758,-53.04459,-92.777809,83.533417,0.013591107,-0.0077982703
11320.921704707,0.0090651177,-1.9522798,-101.26187,-172.57182,-106.86976,115.57841,0.014163426,-0.0078425854
11382.932239418,0.0098317433,-1.9622741,-100.61873,136.47366,-92.505997,157.33781,0.012706419,-0.014527676
11445.282437852,0.0087757893,-1.9691882,-87.570061,150.07587,-97.153404,94.224251,0.014197484,-0.0061684023
11507.974160523,0.010530578,-1.969703,-94.604843,47.457905,-91.550591,164.4644,0.013234982,-0.019711643
11571.009278136,0.0087732058,-1.9927399,-96.343544,125.77646,-84.972946,-32.184326,0.013724259,0.00088305981
11634.389671641,0.0088992734,-2.0013297,-110.43806,84.606834,-99.303772,120.19102,0.012992388,-0.0080848476
11698.117232294,0.0096364841,-2.0060196,-114.02325,-90.444328,-92.407822,67.80526,0.01319369,-0.0075092637
11762.193861707,0.0088269403,-2.0252459,-100.40268,77.824951,-90.089821,-2.7767227,0.012291368,0.0020804217
11826.621471911,0.0091307303,-2.035563,-87.000282,-104.715,-97.585579,102.71593,0.013387241,0.00071766373
11891.401985409,0.0088388231,-2.038059,-93.554184,28.147139,-92.102982,-75.398643,0.012642925,-0.0067822905
11956.537335234,0.0076870206,-2.0601041,-119.28389,98.049339,-98.658569,14.774488,0.012526775,-0.0093311649
12022.029465009,0.009794035,-2.0629864,-103.24215,26.874002,-96.304176,62.354736,0.012534002,-0.0068585449
12087.880329001,0.0062862565,-2.0700157,-100.11577,135.96666,-91.872108,142.26332,0.01151898,-0.0047407169
12154.091892183,0.0092939828,-2.0951066,-92.391754,53.227886,-89.570396,73.533638,0.012572719,-0.0068164202
12220.66613029,0.0080105281,-2.0978577,-89.722321,-34.75946,-92.908905,28.320623,0.011774048,-0.00085261709
12287.605029881,0.0084022181,-2.1113615,-94.993797,-129.881,-96.106689,-179.62425,0.013094588,-0.011352682
12354.910588395,0.0088791233,-2.122782,-103.30051,53.972355,-104.12925,71.990997,0.012861794,0.0025413334
12422.584814211,0.0069830767,-2.1296997,-96.054924,68.909782,-99.594223,65.816757,0.010583773,0.002434582
12490.629726712,0.009164311,-2.142652,-100.452,58.678574,-97.902046,152.44957,0.012461729,-0.0059329462
12559.04735634,0.010008399,-2.1543453,-92.318291,-136.71194,-89.33416,174.52859,0.013135881,-0.0011533835
12627.839744658,0.0087148212,-2.1754212,-101.59655,32.848049,-91.765434,-73.413651,0.013894048,-0.01554168
12697.008944414,0.0079567833,-2.1764491,-91.681702,-3.3086655,-91.355682,-127.26247,0.011867501,-0.011551986
12766.557019598,0.0085417302,-2.1971266,-105.54998,24.373251,-97.777031,-137.01392,0.011949076,-0.009598597
12836.486045508,0.0091384798,-2.1968756,-99.592072,135.08803,-95.270836,94.070251,0.011265446,-0.0038563465
12906.798108806,0.0087132715,-2.2162089,-90.701935,-143.27197,-91.733894,159.24464,0.010208808,-0.010752213
12977.495307587,0.0082973232,-2.223381,-98.131989,-73.076118,-99.218521,141.72574,0.013496659,-0.005708125
13048.579751436,0.0083784489,-2.2308276,-95.996368,76.209587,-91.785889,-137.85394,0.011729645,-0.0060957903
